municipio,pob2020
Adjuntas,18020
Aguada,38136
Aguadilla,55101
Aguas Buenas,24223
Aibonito,24637
Añasco,25596
Arecibo,87754
Arroyo,15843
Barceloneta,22657
Barranquitas,28983
Bayamón,185187
Cabo Rojo,47158
Caguas,127244
Camuy,32827
Canóvanas,42337
Carolina,154815
Cataño,23155
Cayey,41652
Ceiba,11307
Ciales,16984
Cidra,39970
Coamo,34668
Comerío,18883
Corozal,34571
Culebra,1792
Dorado,35879
Fajardo,32124
Florida,11692
Guánica,13787
Guayama,36614
Guayanilla,17784
Guaynabo,89780
Gurabo,40622
Hatillo,38486
Hormigueros,15654
Humacao,50896
Isabela,42943
Jayuya,14779
Juana Díaz,46538
Juncos,37012
Lajas,23334
Lares,28105
Las Marías,8874
Las Piedras,35180
Loíza,23693
Luquillo,17781
Manatí,39492
Maricao,4755
Maunabo,10589
Mayagüez,73077
Moca,37460
Morovis,28727
Naguabo,23386
Naranjito,29241
Orocovis,21434
Patillas,15985
Peñuelas,20399
Ponce,137491
Quebradillas,23638
Rincón,15187
Río Grande,47060
Sabana Grande,22729
Salinas,25789
San Germán,31879
San Juan,342259
San Lorenzo,37693
San Sebastián,39345
Santa Isabel,20281
Toa Alta,66852
Toa Baja,75293
Trujillo Alto,67740
Utuado,28287
Vega Alta,35395
Vega Baja,54414
Vieques,8249
Villalba,22093
Yabucoa,30426
Yauco,34172
